ID,item_cnt_month
0,0.3970086
1,0.29869103
2,0.88964134
3,0.34737173
4,2.7614655
5,0.59605175
6,0.5500857
7,0.08153874
8,0.90009314
9,0.15667757
10,2.5996385
11,0.34765512
12,0.09363249
13,0.41715446
14,1.3955072
15,2.9149723
16,0.03274688
17,0.09264192
18,1.0492783
19,0.21015069
20,0.43633717
21,0.34555402
22,1.7904412
23,0.39553064
24,1.3200941
25,1.3985155
26,0.43283427
27,0.44276384
28,0.92880917
29,4.0420785
30,0.75726426
31,0.96044713
32,0.7484707
33,0.7412112
34,0.041707993
35,0.049452692
36,0.042324215
37,0.7905052
38,0.23613816
39,0.17365626
40,0.6014733
41,1.4531379
42,3.3370578
43,4.317215
44,1.1174266
45,0.22875512
46,0.86510134
47,0.33939934
48,0.28720948
49,0.87780976
50,0.9855264
51,0.32352746
52,0.3839577
53,0.22653005
54,4.6503577
55,2.6611981
56,1.8500652
57,1.7067072
58,3.9348853
59,3.2620823
60,3.85407
61,0.22674513
62,0.10981244
63,0.3096555
64,3.7657216
65,0.32502884
66,0.5732961
67,0.057484776
68,0.5322865
69,0.063637644
70,0.32502884
71,1.6365412
72,0.1763471
73,0.7653755
74,4.01917
75,3.3374052
76,0.25140053
77,3.7657216
78,0.43681645
79,0.5383593
80,0.90231
81,1.8750956
82,0.50825506
83,0.27010402
84,1.0232878
85,0.8910856
86,0.38823804
87,0.025370061
88,2.322505
89,0.92314494
90,0.7298518
91,0.6209391
92,1.487356
93,0.2156493
94,0.4615218
95,0.004726201
96,0.06612411
97,0.27134636
98,0.5936991
99,1.2764022
100,1.4007723
101,0.49359033
102,0.3373868
103,1.3436275
104,0.08001506
105,0.3727464
106,0.30816802
107,0.7438153
108,0.08141288
109,0.29869103
110,0.30818266
111,0.4481049
112,0.9844142
113,1.4178125
114,0.1001181
115,0.25747767
116,0.25792354
117,0.04014185
118,8.465209
119,0.046290606
120,0.028235763
121,0.036267877
122,0.22106543
123,0.31642288
124,0.45363873
125,0.71707726
126,0.32350087
127,0.07559469
128,0.26633662
129,0.20804456
130,0.6493972
131,0.02957967
132,0.91833186
133,3.7133431
134,0.023608953
135,2.0947704
136,0.26322114
137,0.13122839
138,1.4689167
139,0.38319385
140,0.18802544
141,0.2838629
142,0.049102604
143,0.3461185
144,0.22875512
145,0.22875512
146,0.22875512
147,0.028373301
148,0.29869103
149,0.057627648
150,0.06842488
151,0.3924916
152,3.446487
153,0.2700628
154,0.05784318
155,0.13384292
156,0.1674855
157,0.3065057
158,0.07684451
159,0.17707238
160,2.279129
161,0.17602924
162,1.4022229
163,0.9700178
164,0.31977254
165,0.06275582
166,0.32201457
167,0.024638921
168,0.31403464
169,0.101192385
170,0.16949922
171,0.40071002
172,0.11898753
173,1.6663063
174,1.562145
175,3.2126386
